first;144;0.075046904315197%
going;141;0.07348342714196372%
big;141;0.07348342714196372%
around;139;0.07244110902647488%
snow;138;0.07191994996873045%
after;137;0.07139879091098603%
This;137;0.07139879091098603%
left;137;0.07139879091098603%
though;137;0.07139879091098603%
girl;137;0.07139879091098603%
across;136;0.07087763185324161%
eyes;136;0.07087763185324161%
better;135;0.07035647279549719%
tell;135;0.07035647279549719%
because;135;0.07035647279549719%
just;135;0.07035647279549719%
Fernando;135;0.07035647279549719%
Andres;131;0.06827183656451949%
dark;129;0.06722951844903065%
horses;129;0.06722951844903065%
stood;129;0.06722951844903065%
gun;128;0.06670835939128622%
cave;126;0.06566604127579738%
bad;124;0.06462372316030852%
last;123;0.0641025641025641%
toward;119;0.06201792787158641%
seen;118;0.06149676881384199%
three;118;0.06149676881384199%
believe;118;0.06149676881384199%
day;117;0.06097560975609756%
hands;115;0.05993329164060871%
lay;115;0.05993329164060871%
turned;115;0.05993329164060871%
All;114;0.05941213258286429%
anything;114;0.05941213258286429%
nor;113;0.058890973525119863%
off;113;0.058890973525119863%
until;112;0.05836981446737544%
great;111;0.05784865540963102%
want;111;0.05784865540963102%
don;110;0.057327496351886595%
So;109;0.056806337294142174%
others;109;0.056806337294142174%
coming;109;0.056806337294142174%
war;108;0.05628517823639775%
side;108;0.05628517823639775%
done;107;0.055764019178653326%
Primitivo;106;0.0552428601209089%
these;106;0.0552428601209089%
Golz;106;0.0552428601209089%
Why;104;0.05420054200542006%
Karkov;104;0.05420054200542006%
ever;104;0.05420054200542006%
Not;104;0.05420054200542006%
took;103;0.05367938294767563%
talk;102;0.05315822388993121%
wine;101;0.05263706483218678%
love;100;0.05211590577444236%
hear;99;0.051594746716697934%
gone;97;0.050552428601209086%
shoulder;97;0.050552428601209086%
country;97;0.050552428601209086%
fire;97;0.050552428601209086%
planes;96;0.050031269543464665%
both;96;0.050031269543464665%
gray;95;0.049510110485720245%
understand;95;0.049510110485720245%
let;95;0.049510110485720245%
title;95;0.049510110485720245%
speak;95;0.049510110485720245%
below;94;0.04898895142797582%
close;94;0.04898895142797582%
Good;93;0.0484677923702314%
enough;93;0.0484677923702314%
Let;92;0.04794663331248697%
line;92;0.04794663331248697%
holding;92;0.04794663331248697%
rifle;92;0.04794663331248697%
lines;91;0.04742547425474255%
shook;90;0.04690431519699812%
look;90;0.04690431519699812%
section;90;0.04690431519699812%
Nay;90;0.04690431519699812%
held;89;0.0463831561392537%
slope;89;0.0463831561392537%
high;89;0.0463831561392537%
art;89;0.0463831561392537%
kill;89;0.0463831561392537%
dead;89;0.0463831561392537%
same;88;0.04586199708150927%
while;88;0.04586199708150927%
voice;87;0.04534083802376485%
work;86;0.04481967896602043%
far;86;0.04481967896602043%
table;86;0.04481967896602043%
sun;86;0.04481967896602043%
wish;85;0.044298519908276004%
shouted;84;0.043777360850531584%
along;83;0.043256201792787156%
attack;82;0.042735042735042736%
El;82;0.042735042735042736%
watched;82;0.042735042735042736%
life;82;0.042735042735042736%
tree;82;0.042735042735042736%
clear;82;0.042735042735042736%
without;81;0.04221388367729831%
together;81;0.04221388367729831%
true;81;0.04221388367729831%
does;80;0.04169272461955389%
sat;80;0.04169272461955389%
morning;80;0.04169272461955389%
shot;79;0.04117156556180947%
Where;77;0.04012924744632062%
As;77;0.04012924744632062%
feeling;77;0.04012924744632062%
bull;77;0.04012924744632062%
place;77;0.04012924744632062%
cannot;77;0.04012924744632062%
four;76;0.03960808838857619%
killed;76;0.03960808838857619%
each;76;0.03960808838857619%
Que;76;0.03960808838857619%
Spanish;75;0.03908692933083177%
hill;75;0.03908692933083177%
light;75;0.03908692933083177%
heavy;75;0.03908692933083177%
Listen;75;0.03908692933083177%
trees;74;0.038565770273087344%
leave;74;0.038565770273087344%
watching;74;0.038565770273087344%
small;74;0.038565770273087344%
Gomez;74;0.038565770273087344%
One;74;0.038565770273087344%
Look;74;0.038565770273087344%
end;73;0.03804461121534292%
started;73;0.03804461121534292%
When;73;0.03804461121534292%
above;73;0.03804461121534292%
pistol;73;0.03804461121534292%
walked;72;0.0375234521575985%
